citta,coppia,origine,destinazione,margine_secondi,scadenza,strategia,probabilita,arrivo_programmato,cambi,coincide_con_robusto,ampiezza_frontiera,candidati,modello_ritardo
roma,9,81855,70294,300,1787727580,margine_fisso,0.16871137392258947,1787727478,1,False,0.4499801621764079,6,sintetico
roma,9,81855,70294,300,1787727580,robusto,0.533543631455811,1787727280,2,True,0.4499801621764079,6,sintetico
roma,9,81855,70294,600,1787727880,piu_veloce,0.775891959199029,1787727280,2,True,0.34823752938925356,6,sintetico
roma,9,81855,70294,600,1787727880,meno_cambi,0.0,1787730240,0,False,0.34823752938925356,6,sintetico
roma,9,81855,70294,600,1787727880,margine_fisso,0.7680523966823748,1787727478,1,False,0.34823752938925356,6,sintetico
roma,9,81855,70294,600,1787727880,robusto,0.775891959199029,1787727280,2,True,0.34823752938925356,6,sintetico
roma,9,81855,70294,900,1787728180,piu_veloce,0.9653315276286143,1787727280,2,True,0.44271940166304313,6,sintetico
roma,9,81855,70294,900,1787728180,meno_cambi,0.0,1787730240,0,False,0.44271940166304313,6,sintetico
roma,9,81855,70294,900,1787728180,margine_fisso,0.931759139762806,1787727478,1,False,0.44271940166304313,6,sintetico
roma,9,81855,70294,900,1787728180,robusto,0.9653315276286143,1787727280,2,True,0.44271940166304313,6,sintetico
roma,9,81855,70294,1200,1787728480,piu_veloce,0.9815950309717582,1787727280,2,True,0.8541467655455776,6,sintetico
roma,9,81855,70294,1200,1787728480,meno_cambi,0.0,1787730240,0,False,0.8541467655455776,6,sintetico
roma,9,81855,70294,1200,1787728480,margine_fisso,0.9609816374115608,1787727478,1,False,0.8541467655455776,6,sintetico
roma,9,81855,70294,1200,1787728480,robusto,0.9815950309717582,1787727280,2,True,0.8541467655455776,6,sintetico
roma,9,81855,70294,1800,1787729080,piu_veloce,0.9933968068581704,1787727280,2,True,0.3261269978873117,6,sintetico
roma,9,81855,70294,1800,1787729080,meno_cambi,0.0,1787730240,0,False,0.3261269978873117,6,sintetico
roma,9,81855,70294,1800,1787729080,margine_fisso,0.9798309447111273,1787727478,1,False,0.3261269978873117,6,sintetico
roma,9,81855,70294,1800,1787729080,robusto,0.9933968068581704,1787727280,2,True,0.3261269978873117,6,sintetico
roma,10,72261,71178,0,1787728304,piu_veloce,0.3191574492096681,1787728304,1,True,0.06848417300711468,5,sintetico
roma,10,72261,71178,0,1787728304,meno_cambi,0.3191574492096681,1787728304,1,True,0.06848417300711468,5,sintetico
roma,10,72261,71178,0,1787728304,margine_fisso,0.3191574492096681,1787728304,1,True,0.06848417300711468,5,sintetico
roma,10,72261,71178,0,1787728304,robusto,0.3191574492096681,1787728304,1,True,0.06848417300711468,5,sintetico
roma,10,72261,71178,300,1787728604,piu_veloce,0.9667558944497234,1787728304,1,True,0.1999315627447642,5,sintetico
roma,10,72261,71178,300,1787728604,meno_cambi,0.9667558944497234,1787728304,1,True,0.1999315627447642,5,sintetico
roma,10,72261,71178,300,1787728604,margine_fisso,0.9667558944497234,1787728304,1,True,0.1999315627447642,5,sintetico
roma,10,72261,71178,300,1787728604,robusto,0.9667558944497234,1787728304,1,True,0.1999315627447642,5,sintetico
roma,10,72261,71178,600,1787728904,piu_veloce,0.99055536681754,1787728304,1,True,0.20475588993187643,5,sintetico
roma,10,72261,71178,600,1787728904,meno_cambi,0.99055536681754,1787728304,1,True,0.20475588993187643,5,sintetico
roma,10,72261,71178,600,1787728904,margine_fisso,0.99055536681754,1787728304,1,True,0.20475588993187643,5,sintetico
roma,10,72261,71178,600,1787728904,robusto,0.99055536681754,1787728304,1,True,0.20475588993187643,5,sintetico
roma,10,72261,71178,900,1787729204,piu_veloce,0.9919787264427357,1787728304,1,True,0.2050454644518468,5,sintetico
roma,10,72261,71178,900,1787729204,meno_cambi,0.9919787264427357,1787728304,1,True,0.2050454644518468,5,sintetico
roma,10,72261,71178,900,1787729204,margine_fisso,0.9919787264427357,1787728304,1,True,0.2050454644518468,5,sintetico
roma,10,72261,71178,900,1787729204,robusto,0.9919787264427357,1787728304,1,True,0.2050454644518468,5,sintetico
roma,10,72261,71178,1200,1787729504,piu_veloce,0.9921254319443773,1787728304,1,True,0.20507538115924384,5,sintetico
roma,10,72261,71178,1200,1787729504,meno_cambi,0.9921254319443773,1787728304,1,True,0.20507538115924384,5,sintetico
